,activation,alpha,hidden_layer_sizes,mean train score,mean test score
0,relu,1,"(27, 1)",0.8155432780847146,0.7387232444992365
1,relu,1,"(27, 3)",0.849589763129485,0.7148202263722103
2,relu,1,"(27, 5)",0.8412973899790437,0.7350400032469344
3,relu,1,"(27, 7)",0.8500412777036895,0.7442354230400438
4,relu,1,"(27, 9)",0.8426855909062043,0.7194217412700588
5,relu,1,"(27, 11)",0.8449806312313456,0.7442328863725147
6,relu,1,"(27, 13)",0.8330234330348638,0.7414780654358756
7,relu,1,"(27, 15)",0.8505023179018226,0.7138918060565475
