,activation,alpha,hidden_layer_sizes,mean train score,mean test score
117,relu,0.01,25,0.8711989585317839,0.7267831504396045
118,relu,0.01,27,0.8762761160856036,0.6982481774043804
119,relu,0.01,29,0.8928227598907728,0.7111217651147336
120,relu,1.0,1,0.7332037848479075,0.7194141312674712
121,relu,1.0,3,0.7419457674477679,0.7276760574098594
122,relu,1.0,5,0.7562049914269385,0.7322826456427661
123,relu,1.0,7,0.7658665142566838,0.7433044660568519
124,relu,1.0,9,0.7755204165872863,0.7525049591850195
125,relu,1.0,11,0.7741449164920303,0.7350323932443471
126,relu,1.0,13,0.7833377786244999,0.7497374549107348
127,relu,1.0,15,0.7801238331110687,0.7488242546002466
128,relu,1.0,17,0.7755216866704769,0.7350247832417597
129,relu,1.0,19,0.7847208992188989,0.7534232328305658
130,relu,1.0,21,0.7828830888423192,0.7405521817877418
131,relu,1.0,23,0.7861002095637265,0.7589430213739606
132,relu,1.0,25,0.7815025084143011,0.7424014124164803
133,relu,1.0,27,0.7884028703880105,0.74606182366102
134,relu,1.0,29,0.7897840858576236,0.7341166562663298
